,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
152,2022-02-09,976.7148620930419,849.8062961227555,1075.1687012659697,976.7148620930419,976.7148620930419,-6.8349517352705575,-6.8349517352705575,-6.8349517352705575,-6.8349517352705575,-6.8349517352705575,-6.8349517352705575,0.0,0.0,0.0,969.8799103577713
153,2022-02-10,975.688072798622,850.5624395148394,1067.680431244782,975.688072798622,975.688072798622,-15.362029921691498,-15.362029921691498,-15.362029921691498,-15.362029921691498,-15.362029921691498,-15.362029921691498,0.0,0.0,0.0,960.3260428769305
154,2022-02-11,974.6612835042021,844.0800148634415,1065.968335686799,974.6612835042021,974.6612835042021,-19.73268640316288,-19.73268640316288,-19.73268640316288,-19.73268640316288,-19.73268640316288,-19.73268640316288,0.0,0.0,0.0,954.9285971010391
155,2022-02-14,971.5809156209425,859.6929118686701,1072.3911866831904,971.5809156209425,971.5809156209425,-3.674596571935232,-3.674596571935232,-3.674596571935232,-3.674596571935232,-3.674596571935232,-3.674596571935232,0.0,0.0,0.0,967.9063190490073
156,2022-02-15,970.5541263265227,852.8217239898706,1070.3602567394819,970.5541263265227,970.5541263265227,-8.923456450997065,-8.923456450997065,-8.923456450997065,-8.923456450997065,-8.923456450997065,-8.923456450997065,0.0,0.0,0.0,961.6306698755257
157,2022-02-16,969.5273370321029,843.9052851164323,1071.6204180175394,969.5273370321029,969.5273370321029,-6.834951735258529,-6.834951735258529,-6.834951735258529,-6.834951735258529,-6.834951735258529,-6.834951735258529,0.0,0.0,0.0,962.6923852968443
158,2022-02-17,968.500547737683,834.5597929867231,1067.426353048334,968.500547737683,968.500547737683,-15.362029921702252,-15.362029921702252,-15.362029921702252,-15.362029921702252,-15.362029921702252,-15.362029921702252,0.0,0.0,0.0,953.1385178159807
159,2022-02-18,967.473758443263,838.3839592744588,1062.7095431410467,967.473758443263,967.473758443263,-19.73268640314623,-19.73268640314623,-19.73268640314623,-19.73268640314623,-19.73268640314623,-19.73268640314623,0.0,0.0,0.0,947.7410720401168
160,2022-02-22,963.3666014554376,843.5881694749245,1066.2124390935396,963.3666014554376,963.3666014554376,-8.923456450982975,-8.923456450982975,-8.923456450982975,-8.923456450982975,-8.923456450982975,-8.923456450982975,0.0,0.0,0.0,954.4431450044547
161,2022-02-23,962.3398122084812,838.5604963022819,1067.9066768734237,962.3398122084812,962.3398122084812,-6.8349517352465,-6.8349517352465,-6.8349517352465,-6.8349517352465,-6.8349517352465,-6.8349517352465,0.0,0.0,0.0,955.5048604732348
162,2022-02-24,961.313022961525,837.0145278508279,1056.6066505978397,961.313022961525,961.313022961525,-15.362029921712997,-15.362029921712997,-15.362029921712997,-15.362029921712997,-15.362029921712997,-15.362029921712997,0.0,0.0,0.0,945.950993039812
163,2022-02-25,960.2862337145687,827.4994883775245,1056.9742649649604,960.2862337145687,960.2862337145687,-19.73268640312324,-19.73268640312324,-19.73268640312324,-19.73268640312324,-19.73268640312324,-19.73268640312324,0.0,0.0,0.0,940.5535473114454
164,2022-02-28,957.2058659736996,844.4804777933564,1073.904474809155,957.2058659736996,957.2058659736996,-3.674596571990195,-3.674596571990195,-3.674596571990195,-3.674596571990195,-3.674596571990195,-3.674596571990195,0.0,0.0,0.0,953.5312694017094
165,2022-03-01,956.1790767267432,837.8812054498036,1067.9515745281706,956.1790767267432,956.1790767267432,-8.923456450997705,-8.923456450997705,-8.923456450997705,-8.923456450997705,-8.923456450997705,-8.923456450997705,0.0,0.0,0.0,947.2556202757455
166,2022-03-02,955.1522874797869,843.8938518167234,1062.1675039169738,955.1522874797869,955.1522874797869,-6.834951735275056,-6.834951735275056,-6.834951735275056,-6.834951735275056,-6.834951735275056,-6.834951735275056,0.0,0.0,0.0,948.3173357445119
